wl,LineataSilleiro_1,LineataSilleiro_2,LineataSilleiro_3,LineataSilleiro_4,LineataSilleiro_5,LineataSilleiro_6,LineataSilleiro_7,LineataSilleiro_8,LineataSilleiro_9,LineataSilleiro_10,LuteaAguncheiro_1,LuteaAguncheiro_2,LuteaAguncheiro_3,LuteaAguncheiro_4,LuteaAguncheiro_5,LuteaAguncheiro_6,LuteaAguncheiro_7,LuteaAguncheiro_8,LuteaAguncheiro_9,LuteaAguncheiro_10,LineataAguncheiro_1,LineataAguncheiro_2,LineataAguncheiro_3,LineataAguncheiro_4,LineataAguncheiro_5,LineataAguncheiro_6,LineataAguncheiro_7,LineataAguncheiro_8,LineataAguncheiro_9,LineataAguncheiro_10,NigraAguncheiro_1,NigraAguncheiro_2,NigraAguncheiro_3,NigraAguncheiro_4,NigraAguncheiro_5,NigraAguncheiro_6,NigraAguncheiro_7,NigraAguncheiro_8,NigraAguncheiro_9,NigraAguncheiro_10,RockAguncheiro_1,RockAguncheiro_2,RockAguncheiro_3,RockAguncheiro_4,RockAguncheiro_5,RockAguncheiro_6,RockSilleiro_1,RockSilleiro_2,RockSilleiro_3,RockSilleiro_4,RockSilleiro_5,RockSilleiro_6
380.1,2.22,2.95,-2.72,3.58,7.92,-10.63,-13.05,4.65,0.2,-10.16,-4.19,-18.44,4.24,7.31,1.34,2.83,-4.48,-16.57,-5.5,-13.47,0.03,9.71,-9.65,8.07,-2.51,7,6.02,4.21,-8.59,13.05,8.01,14.62,-11.26,-12.86,-5.44,8.59,9.39,23.96,-3.16,-0.45,21.93,12.16,15.86,10.25,17.21,1.7,-0.52,1.03,-4.5,10.26,8.93,10.86
380.5,5.55,6.47,-1.08,4.89,10.41,-8.76,-10.09,5.14,2.22,-8.79,-3.95,-13,2.6,9.69,0.69,6.05,-5.5,-13.45,-4.56,-13.44,2.29,9.36,-6.96,10.76,-2.75,9.68,10.25,6.1,-6.73,15.98,6.74,16,-9.06,-7.29,-7.48,14.51,11.82,26.46,-1.6,0.86,21.36,18.17,19.52,11.38,20.41,6.24,3.96,5.74,-4.59,14.56,9.59,15.38
381,2.58,1.18,-2.19,4.43,4.74,-7.67,-10.4,-0.43,2.67,-11.38,-7.75,-12.64,1.74,6.77,-0.67,7.08,-6.89,-15.1,-5.44,-15.42,-0.41,8.24,-7.6,9.17,-3.97,7.7,8.41,3.7,-7.14,12.68,3.98,11.12,-10.22,-9.5,-9.45,17.18,10.92,20.57,-3.66,0.92,18.14,13.06,16.75,9.15,17.51,6.38,6.94,5.8,-8.31,13.1,7.44,15.97
381.4,-2.52,-2.2,-5.34,0.29,2.27,-12.68,-16.11,-0.48,-0.37,-14.91,-11.48,-16.45,-4.82,1.97,-4.79,4.22,-9.31,-21.51,-11.04,-18.44,-5.72,2.03,-12.9,5.29,-6.97,6.26,7.74,-1.15,-11.77,10.64,-0.87,7.53,-13.39,-14.62,-9.63,15.26,3.72,15.5,-6.68,-3.4,16.29,10.01,10.51,5.03,17.74,-0.81,5.19,-0.12,-13.41,8.73,2.09,11.39
381.9,-1.12,0.61,-3.91,0.39,0.43,-15.53,-15.93,1.05,-2.82,-14.92,-13.78,-17.21,-4.52,1.86,-6.23,6.48,-9.94,-20.56,-8.22,-20.7,-7.44,0.82,-13,5.59,-11.44,6.67,8.14,0.21,-12.8,10.72,0.15,7.73,-13.04,-14.08,-9.06,15,4.97,15.1,-6.37,-4.21,15.03,11.48,12.08,4.67,19.17,-1.6,4.69,1.42,-13.19,6.74,2.69,10.8
382.3,-4.21,-0.27,-9.36,-4.42,0.51,-17.14,-16.45,-2.64,-3.87,-13.89,-17.95,-20.93,-2.96,1.98,-9.02,5.53,-10.26,-21.79,-7.11,-22.14,-8.69,-1.85,-13.68,6.68,-14.31,1.35,9.16,-1.65,-16.16,7.68,-1.23,5.84,-16.19,-17.06,-13.52,11.67,0.7,12.26,-8.31,-3.58,13.63,9.09,9.4,5.69,19.61,-1.78,0.96,-1.89,-17.66,5.41,1.9,6.98
382.7,-1.96,1.68,-11.21,-4.34,2.19,-13.94,-14.98,-1.46,0.39,-7.09,-15.76,-22.12,-4.07,3.05,-6.87,6.26,-10.4,-21.34,-7.45,-19.99,-9.2,2.91,-8.72,7.03,-11.08,7.73,10.6,0.95,-13.75,12.3,-0.51,8.23,-15.27,-11.8,-13.35,11.49,0.54,14.34,-1.47,-4.86,13.12,10.92,7.88,8.86,21.27,5.41,3.17,-1.58,-15.66,11.16,7.97,10.09
383.2,17.16,20.5,7.39,18.93,25.12,8.71,5.62,-2.37,-0.86,-2.97,-18.3,-22.82,-6.43,0.94,-2.05,20.25,13.08,-0.59,14.64,-1.41,-9.75,1.36,-8.75,1.17,-13.69,4.36,5.76,6.09,-15.77,13.83,-3.2,8.08,-16.47,-12.31,-11.79,8.28,-1.98,13.28,-3.7,-2.96,11.39,9.98,5.9,6.19,23.94,4.6,-0.51,-3.88,-18.67,9.01,6.34,7.2
383.6,13.8,12.76,0.8,13.16,15.48,-2.79,-0.19,-14.06,-12.08,-13.71,-26.61,-25.91,-14,-3.06,-6.62,13.92,7.85,-10.33,7.93,-5.06,-18.89,-9.95,-16.61,-5.75,-21.97,-4.93,-3.28,-4.03,-29.03,8.16,-12.88,0.6,-28.34,-19.77,-24.2,-0.13,-9.73,6.64,-12,-12.26,2.37,2.07,-5,-5.85,11.68,-4.29,-12.87,-16.24,-27.77,-1.35,-3.09,-0.16
384.1,11.4,13.21,-0.26,12.25,13.55,-5.53,-2.35,-13.52,-11.95,-16.72,-26.74,-25.86,-12.47,-2.36,-7.08,9.57,9.41,-11.07,6.82,-6.33,-18.41,-13.88,-14.71,-3.18,-21.55,-4.95,-4.77,-6,-27.25,6.57,-14.46,-0.8,-26.63,-24.66,-27.59,-1,-12.2,10.87,-11.86,-15.63,2.58,3.27,-3.82,-5.29,9.86,0.94,-13.46,-20.41,-26.22,-2.19,-2.06,1.96
