ColorMorph,ColorMorphNum,Locality,ColorMorph_Locality,Individual,ShellThickness,CS,RW1,RW2,RW3,RW4,RW5,RW6,RW7,RW8,RW9,RW10,RW11,RW12,RW13,RW14,RW15,RW16,RW17,RW18
Lutea,1,Aguncheiro,Lutea_Aguncheiro,1,0.686,1.09743512,-0.04472540,0.03310730,-0.00751325,-0.00890046,-0.01511083,-0.00492817,-0.00122763,0.00252436,0.00054313,0.00302914,0.00060524,-0.00222048,-0.00604361,0.00287560,0.00155227,0.00037372,-0.00055032,-0.00006932
Lutea,1,Aguncheiro,Lutea_Aguncheiro,2,0.641,1.12689083,-0.08318540,0.04365580,-0.01232873,0.00111935,0.00165970,-0.01507411,0.01553558,-0.00158495,0.01424888,0.00739790,-0.00390155,-0.00193149,0.00502513,0.00072838,0.00646005,0.00556458,-0.00022187,-0.00001322
Lutea,1,Aguncheiro,Lutea_Aguncheiro,3,0.507,1.12715901,-0.01091921,0.02049322,0.00082719,-0.01227591,0.00763232,0.00030628,-0.01874869,0.00536152,0.00204856,0.00060701,-0.00827003,-0.00740276,-0.00546029,-0.00241995,0.00045975,0.00210149,-0.00045188,0.00002228
Lutea,1,Aguncheiro,Lutea_Aguncheiro,4,0.520,1.03821906,-0.04458745,0.04662967,-0.02765081,0.01178766,-0.03149361,0.00225878,-0.00363209,-0.00290277,0.00923291,-0.01244735,-0.00248886,0.00122704,0.00274090,-0.00015373,0.00051624,-0.00384974,-0.00076215,0.00008841
Lutea,1,Aguncheiro,Lutea_Aguncheiro,5,0.561,1.00737178,-0.04887996,-0.00997455,0.02288143,-0.01162001,-0.02308383,0.01707807,-0.00086956,-0.00166706,-0.00197721,0.00771609,0.00280060,-0.00436830,0.00379649,0.00022041,0.00595664,-0.00239999,-0.00007542,-0.00005994
Lutea,1,Aguncheiro,Lutea_Aguncheiro,6,0.542,1.12031176,-0.01734898,0.04487506,-0.03142598,-0.00593215,-0.00500733,0.02677984,0.00082588,0.00203150,-0.01402316,0.00178172,0.00474959,-0.00357673,-0.00260480,-0.00452196,-0.00314025,-0.00312490,-0.00068161,-0.00001459
Lutea,1,Aguncheiro,Lutea_Aguncheiro,7,0.493,1.02214787,0.08234913,0.02516888,-0.01862889,0.00831012,-0.02960077,-0.01563271,0.00608691,0.01392005,0.00220984,0.00207885,-0.00247500,-0.00905990,0.00388306,0.00610850,-0.00020145,-0.00071264,0.00049415,0.00018548
Lutea,1,Aguncheiro,Lutea_Aguncheiro,8,0.464,1.02278364,-0.00404608,0.02988332,0.02995783,-0.02587222,-0.00660687,0.00722262,0.00296857,0.00096283,0.00504528,-0.00142693,0.00757454,0.00531166,0.00006922,-0.00021640,0.00388709,-0.00110409,0.00042270,0.00013617
Lutea,1,Aguncheiro,Lutea_Aguncheiro,9,0.619,0.95624170,-0.05583547,0.02997257,-0.00148625,0.00381837,0.02299944,-0.00947601,-0.01371871,-0.00204592,0.00443276,0.00180395,0.01184830,-0.00478391,-0.00180949,0.00056313,-0.00242819,-0.00049092,-0.00040968,-0.00040481
Lutea,1,Aguncheiro,Lutea_Aguncheiro,10,0.431,1.01867043,0.02731343,0.04837956,-0.00843058,0.00172766,0.02023145,-0.01025229,-0.01721862,0.00042334,-0.00493140,-0.00562118,0.00748220,0.00414905,0.00375762,0.00175729,0.00828491,-0.00412461,0.00085753,-0.00001591
Nigra,2,Aguncheiro,Nigra_Aguncheiro,1,0.536,1.14970386,-0.04987473,-0.01252290,0.01233523,-0.00979797,0.00112190,0.01138911,-0.01424630,-0.00040351,0.01418693,0.00011072,0.00381899,-0.00195732,0.00015332,0.00381011,-0.00252776,-0.00227149,0.00040204,0.00033351
Nigra,2,Aguncheiro,Nigra_Aguncheiro,2,0.705,1.23554189,0.00267358,0.03940184,-0.01638848,0.00164665,0.01272523,0.02481662,0.01029582,-0.00448311,-0.00384475,-0.00040834,-0.00569476,-0.00434697,0.00269359,-0.00540466,-0.00129982,-0.00064349,-0.00025344,-0.00009964
Nigra,2,Aguncheiro,Nigra_Aguncheiro,3,0.578,1.12519916,-0.04586301,0.01276255,-0.01742497,-0.00336344,-0.00537614,0.00993074,-0.00684962,-0.01062208,0.00071579,-0.00061468,0.01100375,0.00342506,0.00592535,-0.00381566,-0.00291522,0.00717278,0.00036879,0.00014365
Nigra,2,Aguncheiro,Nigra_Aguncheiro,4,0.533,1.17500407,0.00113367,-0.01777291,0.00439411,-0.01504672,-0.00996839,0.00149823,-0.02266311,0.00336536,0.00163334,0.00654713,-0.00239136,0.00564766,0.00267860,-0.00256039,-0.00082985,0.00165241,0.00003894,-0.00008184
Nigra,2,Aguncheiro,Nigra_Aguncheiro,5,0.465,1.10521527,-0.03134537,0.03031039,0.01373718,0.00408869,-0.01567556,-0.00257840,-0.01069422,-0.00284199,0.00949911,0.00640699,-0.01280948,0.01079532,0.00194508,0.00002331,-0.00802828,-0.00394893,0.00026676,-0.00017644
Nigra,2,Aguncheiro,Nigra_Aguncheiro,6,0.515,1.06981789,-0.02144600,0.01365254,0.01806100,0.02690548,-0.01661129,-0.01477375,-0.00438612,-0.00201221,-0.02018404,0.01107892,-0.00393063,0.00590142,-0.00354909,-0.00301135,-0.00004892,0.00037321,-0.00008587,0.00044255
Nigra,2,Aguncheiro,Nigra_Aguncheiro,7,0.490,1.14130819,0.04627087,0.00355062,-0.00899539,-0.00410019,0.01314661,0.01011258,-0.01620343,-0.00158020,-0.01125828,0.00501041,-0.00193951,0.00882246,-0.00054836,0.00989350,0.00209800,0.00086098,-0.00018910,0.00008268
Nigra,2,Aguncheiro,Nigra_Aguncheiro,8,0.547,1.09076396,0.08329774,0.00705095,-0.00863502,-0.02759073,-0.00389268,-0.01051569,0.00385221,0.00579520,-0.00590337,0.01220519,0.00085376,-0.00511117,-0.00593991,0.00278412,0.00184223,-0.00103574,-0.00023182,-0.00022864
Nigra,2,Aguncheiro,Nigra_Aguncheiro,9,0.505,1.20959084,0.10207044,0.00844271,-0.00258225,-0.00998444,-0.01212110,0.00002782,0.00753727,-0.00771745,-0.00171737,0.00292029,0.00417791,0.00186476,-0.00185867,-0.00588998,-0.00779675,0.00298992,0.00092856,-0.00005515
Nigra,2,Aguncheiro,Nigra_Aguncheiro,10,0.482,1.10890384,0.03384267,0.00541532,0.02937326,0.01777813,-0.01533673,-0.00935255,-0.01342773,-0.00818684,-0.00065578,0.00325281,-0.00200861,-0.00873201,0.00532809,-0.00087665,-0.00052861,-0.00005542,0.00068977,-0.00034766
Lineata,3,Aguncheiro,Lineata_Aguncheiro,1,0.422,0.98526927,0.02263084,0.00090943,-0.04006070,0.00171325,0.00367116,-0.01542748,-0.00215359,0.01531570,-0.00816532,-0.01090129,-0.00680969,-0.00153169,0.00054952,-0.00285086,-0.00040038,0.00323536,-0.00022022,0.00010824
Lineata,3,Aguncheiro,Lineata_Aguncheiro,2,0.458,0.99583699,0.03831256,-0.02062333,0.04895322,-0.00198367,0.01444714,0.00188791,0.01897293,0.01216720,0.00127210,-0.00507918,0.00411921,0.00132500,0.00904576,0.00139747,-0.00450368,-0.00341661,-0.00100212,0.00006356
Lineata,3,Aguncheiro,Lineata_Aguncheiro,3,0.479,0.93097529,-0.00984149,-0.05111950,-0.01817222,-0.00293771,-0.01294327,-0.01015291,0.00932292,0.00545961,-0.01021072,-0.00041656,0.01187665,0.00391435,0.00475034,-0.00068175,-0.00270126,-0.00207011,-0.00004897,-0.00004973
Lineata,3,Aguncheiro,Lineata_Aguncheiro,4,0.476,0.95501472,-0.05543680,-0.09737951,-0.02171401,-0.01960450,0.00092769,0.00195122,-0.02000735,0.01362774,-0.00508206,-0.01281542,-0.00541415,-0.00580141,0.00040350,-0.00263246,0.00028066,-0.00149160,0.00071168,-0.00009708
Lineata,3,Aguncheiro,Lineata_Aguncheiro,5,0.534,0.98391137,0.01443288,-0.03876849,-0.00311920,0.01353778,-0.00469073,0.01378901,0.00399837,0.00662607,0.00482434,0.00077508,0.00177195,-0.00229507,0.00167863,-0.00179526,0.00230490,0.00359722,-0.00038690,0.00010235
Lineata,3,Aguncheiro,Lineata_Aguncheiro,6,0.506,1.05667364,-0.04095173,-0.03039516,-0.01388947,-0.01513757,0.00457942,0.01596573,0.03255031,-0.01057799,-0.00091197,0.00549520,-0.00829620,-0.00475243,-0.00230639,0.00323134,0.00085347,-0.00285458,0.00118611,0.00003613
Lineata,3,Aguncheiro,Lineata_Aguncheiro,7,0.452,0.96633891,0.00979235,-0.00965430,0.03934111,0.01573635,0.01443046,0.01900132,-0.01076013,0.01568528,0.00662596,0.00253949,-0.00044745,-0.00355348,-0.00640888,0.00190791,-0.00240276,0.00031365,0.00010597,0.00022063
Lineata,3,Aguncheiro,Lineata_Aguncheiro,8,0.544,1.10897798,0.04533604,0.04447506,0.02907609,-0.01982397,0.01263587,-0.00226542,0.01502126,0.01843741,0.00034676,-0.00076392,0.00035668,0.00397127,0.00540701,-0.00563544,0.00359085,0.00130107,0.00024394,-0.00004096
Lineata,3,Aguncheiro,Lineata_Aguncheiro,9,0.438,1.00283507,0.00397449,0.03554682,-0.01997308,0.02170212,0.02767374,0.00625276,0.00878595,-0.00164377,-0.00703738,0.00483786,-0.00150899,-0.00246977,-0.00118008,0.00450390,-0.00382568,-0.00058071,0.00005597,-0.00003295
Lineata,3,Aguncheiro,Lineata_Aguncheiro,10,0.558,1.00782257,0.02438864,-0.05821486,0.00145560,0.00319399,0.01839682,-0.00647516,-0.00558577,-0.00018316,0.00840513,0.01485416,0.00020158,0.00099153,0.00122230,0.00071396,-0.00250123,0.00316414,-0.00045479,-0.00002260
Lineata,4,Silleiro,Lineata_Silleiro,1,0.558,0.93466170,-0.01959036,-0.06895806,-0.01641121,-0.01756918,0.01447107,-0.01911883,0.00434470,-0.01437312,0.00248140,0.01101347,-0.00296763,0.00006446,0.00157692,-0.00602408,0.00363403,-0.00389757,-0.00061461,0.00018902
